"","_id","operator_registration_number","postal_code","ward_number","ward_name"
"5845",1733822,"STR-2209-FGLRVB","M6J","10","Spadina-Fort York"
"5846",1733823,"STR-2209-FPSRVC","M4X","13","Toronto Centre"
"5847",1733824,"STR-2209-FWYRVD","M5S","11","University-Rosedale"
"5848",1733825,"STR-2209-GMLRVG","M4L","14","Toronto-Danforth"
"5849",1733826,"STR-2209-GVSRVH","M4E","19","Beaches-East York"
"5850",1733827,"STR-2209-HCYRVJ","M8W","03","Etobicoke-Lakeshore"
"5851",1733828,"STR-2209-HLFRVK","M4L","19","Beaches-East York"
"5852",1733829,"STR-2209-HTLRVL","M6K","04","Parkdale-High Park"
"5853",1733830,"STR-2209-FQJDVC","M5J","10","Spadina-Fort York"
"5854",1733831,"STR-2209-GFWDVF","M6P","09","Davenport"
"5855",1733832,"STR-2209-GPCDVG","M4G","15","Don Valley West"
"5856",1733833,"STR-2209-GWJDVH","M4L","19","Beaches-East York"
"5857",1733834,"STR-2209-HVCDVL","M5V","10","Spadina-Fort York"
"5858",1733835,"STR-2209-JCJDVM","M6K","09","Davenport"
"5859",1733836,"STR-2209-FHSRVB","M1P","21","Scarborough Centre"
"5860",1733837,"STR-2209-GPSRVG","M5B","13","Toronto Centre"
"5861",1733838,"STR-2209-GWYRVH","M6H","09","Davenport"
"5862",1733839,"STR-2209-HFFRVJ","M1K","20","Scarborough Southwest"
"5863",1733840,"STR-2209-HMLRVK","M4Y","13","Toronto Centre"
"5864",1733841,"STR-2209-HVSRVL","M4M","14","Toronto-Danforth"
"5865",1733842,"STR-2209-JCYRVM","M5R","12","Toronto-St. Paul's"
"5866",1733843,"STR-2209-FJJDVB","M4J","14","Toronto-Danforth"
"5867",1733844,"STR-2209-FRQDVC","M5V","10","Spadina-Fort York"
"5868",1733845,"STR-2209-GQJDVG","M1E","24","Scarborough-Guildwood"
"5869",1733846,"STR-2209-GXQDVH","M4L","19","Beaches-East York"
"5870",1733847,"STR-2209-HFWDVJ","M2N","18","Willowdale"
"5871",1733848,"STR-2209-HWJDVL","M2N","18","Willowdale"
"5872",1733849,"STR-2209-JDQDVM","M5R","11","University-Rosedale"
"5873",1733850,"STR-2209-FJYRVB","M9N","05","York South-Weston"
"5874",1733851,"STR-2209-FSFRVC","M5V","10.0","Spadina-Fort York"
"5875",1733852,"STR-2209-FZLRVD","M1M","20","Scarborough Southwest"
"5876",1733853,"STR-2209-GHSRVF","M9W","01","Etobicoke North"
"5877",1733854,"STR-2209-GQYRVG","M5A","10","Spadina-Fort York"
"5878",1733855,"STR-2209-GYFRVH","M6H","09","Davenport"
"5879",1733856,"STR-2209-HPSRVK","M2R","18","Willowdale"
"5880",1733857,"STR-2209-FSWDVC","M1L","20","Scarborough Southwest"
"5881",1733858,"STR-2209-GRQDVG","M6J","09","Davenport"
